AmbientConditions.AmbientHumidity.U.Actual,AmbientConditions.AmbientTemperature.U.Actual,Stage1.Output.Measurement0.U.Actual,Stage1.Output.Measurement1.U.Actual,Stage1.Output.Measurement2.U.Actual,Stage1.Output.Measurement3.U.Actual,Stage1.Output.Measurement4.U.Actual,Stage1.Output.Measurement5.U.Actual,Stage1.Output.Measurement6.U.Actual,Stage1.Output.Measurement7.U.Actual,Stage1.Output.Measurement8.U.Actual,Stage1.Output.Measurement9.U.Actual,Stage1.Output.Measurement10.U.Actual,Stage1.Output.Measurement11.U.Actual,Stage1.Output.Measurement12.U.Actual,Stage1.Output.Measurement13.U.Actual,Stage1.Output.Measurement14.U.Actual,Machine4.Temperature1.C.Actual,Machine4.Temperature2.C.Actual,Machine4.Pressure.C.Actual,Machine4.Temperature3.C.Actual,Machine4.Temperature4.C.Actual,Machine4.Temperature5.C.Actual,Machine4.ExitTemperature.U.Actual,Machine5.Temperature1.C.Actual,Machine5.Temperature2.C.Actual,Machine5.Temperature3.C.Actual,Machine5.Temperature4.C.Actual,Machine5.Temperature5.C.Actual,Machine5.Temperature6.C.Actual,Machine5.ExitTemperature.U.Actual
17.24,23.53,12.72,11.26,11.59,21.94,31.17,0,4.23,2.86,20.71,17.5,8,5.42,1.63,2.73,15.36,374,392,17,313,17,313,47,309.9,290.1,264.2,238.3,243.2,65.5,50.7
17.24,23.53,12.72,11.26,11.59,21.94,31.17,0,4.23,2.86,20.71,17.5,8,5.42,1.63,2.73,15.36,374,392,18,313,18,313,47,309.8,290.1,264.3,238.3,243.2,65.5,49.4
17.24,23.53,12.73,11.33,11.63,21.96,31.13,0,4.09,2.9,20.72,17.49,7.99,5.41,1.62,2.7,15.45,374,391,19,313,19,313,47,309.8,290.1,264.3,238.3,243.1,65.5,49.4
17.24,23.53,12.73,11.33,11.63,21.96,31.13,0,4.09,2.9,20.72,17.49,7.99,5.41,1.62,2.7,15.45,373,390,17,313,17,312,48,309.8,290.1,264.3,238.2,243.1,65.5,49.3
17.24,23.53,12.73,11.33,11.63,21.96,31.13,0,4.09,2.9,20.72,17.49,7.99,5.41,1.62,2.7,15.45,373,390,17,314,17,311,47,309.8,290.1,264.3,238.2,243,65.5,49.1
17.24,23.53,12.74,11.29,11.65,21.95,31.23,0,4.11,2.9,20.69,17.54,7.97,5.4,1.64,2.72,15.47,372,389,17,314,17,310,46,309.8,290.1,264.3,238.2,243,65.4,49.6
17.24,23.53,12.74,11.29,11.65,21.95,31.23,0,4.11,2.9,20.69,17.54,7.97,5.4,1.64,2.72,15.47,372,388,17,314,17,310,46,309.8,290.1,264.3,238.2,243,65.4,49.2
17.24,23.53,12.73,11.38,11.63,21.95,31.07,0,4.13,2.91,20.74,17.51,7.89,5.43,1.59,2.71,15.47,372,388,18,314,18,310,48,309.7,290.1,264.4,238.2,243,65.4,49.7
17.24,23.53,12.73,11.38,11.63,21.95,31.07,0,4.13,2.91,20.74,17.51,7.89,5.43,1.59,2.71,15.47,372,387,17,314,17,309,49,309.7,290.1,264.4,238.2,242.9,65.4,49.4
17.24,23.53,12.73,11.38,11.63,21.95,31.07,0,4.13,2.91,20.74,17.51,7.89,5.43,1.59,2.71,15.47,372,386,18,315,18,309,49,309.7,290,264.4,238.1,242.9,65.4,49.1
17.24,23.53,12.73,11.37,11.6,21.97,31.17,0,4.19,2.85,20.66,17.52,7.93,5.45,1.66,2.71,15.4,372,385,18,315,18,308,49,309.7,290,264.4,238.1,242.9,65.4,48.7
17.24,23.53,12.73,11.37,11.6,21.97,31.17,0,4.19,2.85,20.66,17.52,7.93,5.45,1.66,2.71,15.4,372,385,18,315,18,308,50,309.7,290,264.4,238.1,242.9,65.4,48.5
17.24,23.53,12.76,11.3,11.64,21.94,31.23,0,4.08,2.88,20.71,17.51,7.93,5.43,1.63,2.73,15.41,372,384,18,315,18,308,50,309.8,290,264.4,238.1,242.9,65.4,48.4
17.24,23.53,12.76,11.3,11.64,21.94,31.23,0,4.08,2.88,20.71,17.51,7.93,5.43,1.63,2.73,15.41,372,383,17,316,17,307,50,309.8,290,264.4,238.1,242.9,65.3,48.3
17.24,23.53,12.76,11.3,11.64,21.94,31.23,0,4.08,2.88,20.71,17.51,7.93,5.43,1.63,2.73,15.41,372,383,17,316,17,307,50,309.8,290,264.4,238,243,65.3,48.9
17.24,23.53,12.73,11.23,11.63,21.94,31.17,0,4.05,2.89,20.7,17.6,8.03,5.46,0,2.71,15.43,372,382,17,316,17,307,50,309.8,290,264.5,238,243.1,65.3,49.6
17.24,23.53,12.73,11.23,11.63,21.94,31.17,0,4.05,2.89,20.7,17.6,8.03,5.46,0,2.71,15.43,372,381,18,316,18,307,50,309.9,290,264.5,238,243.2,65.3,49.8
17.24,23.53,12.74,11.3,11.62,21.94,31.16,0,4.14,2.87,20.71,17.53,7.95,5.44,1.65,2.71,15.42,372,380,18,316,18,306,50,309.9,290,264.5,238,243.4,65.2,49.5
17.24,23.53,12.74,11.3,11.62,21.94,31.16,0,4.14,2.87,20.71,17.53,7.95,5.44,1.65,2.71,15.42,372,380,18,316,18,306,51,309.9,290,264.5,238,243.6,65.2,49.4
17.24,23.53,12.74,11.34,11.6,21.97,31.12,0,4.05,2.85,20.69,17.57,7.87,5.44,1.69,2.7,15.46,372,379,18,317,18,306,51,309.9,290,264.5,238,243.7,65.2,49.8
17.24,23.53,12.74,11.34,11.6,21.97,31.12,0,4.05,2.85,20.69,17.57,7.87,5.44,1.69,2.7,15.46,372,379,18,317,18,306,51,310,290,264.5,237.9,243.8,65.2,49
17.24,23.53,12.74,11.34,11.6,21.97,31.12,0,4.05,2.85,20.69,17.57,7.87,5.44,1.69,2.7,15.46,372,378,17,317,17,306,51,310,290,264.5,237.9,243.9,65.2,48.8
17.24,23.53,12.73,11.35,11.64,21.94,31.19,0,4.09,2.86,20.71,17.55,7.97,5.45,1.65,2.74,15.37,373,378,18,317,18,306,52,310,290,264.5,237.9,244,65.2,49.5
17.24,23.53,12.73,11.35,11.64,21.94,31.19,0,4.09,2.86,20.71,17.55,7.97,5.45,1.65,2.74,15.37,373,377,18,317,18,306,52,310,290,264.5,237.9,244.1,65.2,49
17.24,23.53,12.72,11.04,11.79,21.94,31.18,0,3.99,2.88,20.73,17.58,7.99,5.47,1.69,2.71,15.17,373,377,19,317,19,306,52,310,290,264.5,237.9,244.2,65.2,49
17.24,23.53,12.72,11.04,11.79,21.94,31.18,0,3.99,2.88,20.73,17.58,7.99,5.47,1.69,2.71,15.17,373,376,19,317,19,306,51,310,290,264.5,237.9,244.2,65.2,48.5
17.24,23.53,12.72,11.04,11.79,21.94,31.18,0,3.99,2.88,20.73,17.58,7.99,5.47,1.69,2.71,15.17,373,376,17,317,17,306,51,310,290,264.5,237.9,244.3,65.1,48.1
17.24,23.53,12.7,11.26,11.67,21.93,31.22,0,4.09,2.9,20.65,17.66,8.04,5.45,0,2.74,15.3,373,375,18,317,18,306,51,310,290,264.5,237.9,244.3,65.1,48.5
17.24,23.53,12.7,11.26,11.67,21.93,31.22,0,4.09,2.9,20.65,17.66,8.04,5.45,0,2.74,15.3,373,375,19,317,19,306,51,309.9,290,264.5,237.8,244.4,65.1,48
17.24,23.53,12.75,11.32,11.64,21.96,31.14,0,4.11,2.83,20.7,17.59,8.01,5.46,1.73,2.75,15.41,373,375,18,317,18,306,51,309.9,290,264.5,237.8,244.4,65.1,48.5
17.24,23.53,12.75,11.32,11.64,21.96,31.14,0,4.11,2.83,20.7,17.59,8.01,5.46,1.73,2.75,15.41,373,374,17,317,17,306,52,309.9,290,264.4,237.8,244.4,65.1,48.4
17.24,23.53,12.75,11.32,11.64,21.96,31.14,0,4.11,2.83,20.7,17.59,8.01,5.46,1.73,2.75,15.41,373,374,19,317,19,306,53,309.9,290,264.4,237.8,244.5,65.1,49.3
17.24,23.53,12.74,11.41,11.59,21.96,31.2,0,4.14,2.89,20.69,17.71,8.04,5.54,0,3.41,15.42,373,374,18,317,18,306,53,309.9,290,264.4,237.8,244.5,65.1,48.4
17.24,23.53,12.74,11.41,11.59,21.96,31.2,0,4.14,2.89,20.69,17.71,8.04,5.54,0,3.41,15.42,373,374,18,317,18,307,53,309.9,290,264.4,237.8,244.6,65.1,48.4
